artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Taylor Swift,...Ready For It?,0,spotify:track:7zgqtptZvhf8GEmdsM2vp2,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,0.615,0.779,2.0,-6.454,1.0,0.135,0.0665,0.0,0.155,0.453,160.0,audio_features,7zgqtptZvhf8GEmdsM2vp2,https://api.spotify.com/v1/tracks/7zgqtptZvhf8GEmdsM2vp2,https://api.spotify.com/v1/audio-analysis/7zgqtptZvhf8GEmdsM2vp2,208198.0,4.0,,8
Thomas Rhett,Life Changes,63,spotify:track:4Vxu50qVrQcycjRyJQaZLC,https://open.spotify.com/track/4Vxu50qVrQcycjRyJQaZLC,0.687,0.845,7.0,-4.37,1.0,0.0576,0.1,0.0,0.0452,0.809,87.972,audio_features,4Vxu50qVrQcycjRyJQaZLC,https://api.spotify.com/v1/tracks/4Vxu50qVrQcycjRyJQaZLC,https://api.spotify.com/v1/audio-analysis/4Vxu50qVrQcycjRyJQaZLC,190227.0,4.0,,9
Bruno Mars,24K Magic,81,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983.0,4.0,,9
Ed Sheeran,Galway Girl,80,spotify:track:0afhq8XCExXpqazXczTSve,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,0.624,0.876,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827.0,4.0,,9
Ed Sheeran,Photograph,86,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987.0,4.0,,0
Camila Cabello,Havana (feat. Young Thug),1,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,0.768,0.517,7.0,-4.323,0.0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,audio_features,0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,216897.0,4.0,,1
Bruno Mars,When I Was Your Man,89,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795,audio_features,0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,213827.0,4.0,,0
Bill Conti,Gonna Fly Now,56,spotify:track:6C2PfemHQul77DVpnvuAIs,https://open.spotify.com/track/6C2PfemHQul77DVpnvuAIs,0.415,0.538,9.0,-12.71,0.0,0.0368,0.4,0.767,0.0674,0.449,95.121,audio_features,6C2PfemHQul77DVpnvuAIs,https://api.spotify.com/v1/tracks/6C2PfemHQul77DVpnvuAIs,https://api.spotify.com/v1/audio-analysis/6C2PfemHQul77DVpnvuAIs,170240.0,4.0,,2
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),0,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,https://open.spotify.com/track/3PGdPUMdUg7a3Tgr5gkfKK,0.776,0.62,7.0,-6.198,1.0,0.067,0.341,0.0,0.0978,0.427,100.025,audio_features,3PGdPUMdUg7a3Tgr5gkfKK,https://api.spotify.com/v1/tracks/3PGdPUMdUg7a3Tgr5gkfKK,https://api.spotify.com/v1/audio-analysis/3PGdPUMdUg7a3Tgr5gkfKK,214265.0,4.0,,9
Ed Sheeran,Thinking out Loud,84,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560.0,4.0,,9
Neon Trees,Everybody Talks,51,spotify:track:3528IXKpbb7OMjdjWYlbfD,https://open.spotify.com/track/3528IXKpbb7OMjdjWYlbfD,0.471,0.924,8.0,-3.906,1.0,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,3528IXKpbb7OMjdjWYlbfD,https://api.spotify.com/v1/tracks/3528IXKpbb7OMjdjWYlbfD,https://api.spotify.com/v1/audio-analysis/3528IXKpbb7OMjdjWYlbfD,177280.0,4.0,,8
Taylor Swift,We Are Never Ever Getting Back Together,61,spotify:track:7AEAGTc8cReDqcbPoY9gwo,https://open.spotify.com/track/7AEAGTc8cReDqcbPoY9gwo,0.628,0.676,7.0,-5.911,1.0,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,audio_features,7AEAGTc8cReDqcbPoY9gwo,https://api.spotify.com/v1/tracks/7AEAGTc8cReDqcbPoY9gwo,https://api.spotify.com/v1/audio-analysis/7AEAGTc8cReDqcbPoY9gwo,191880.0,4.0,,9
Taylor Swift,Bad Blood,70,spotify:track:273dCMFseLcVsoSWx59IoE,https://open.spotify.com/track/273dCMFseLcVsoSWx59IoE,0.65,0.802,7.0,-6.114,1.0,0.181,0.0871,6.54e-06,0.148,0.295,170.146,audio_features,273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/tracks/273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/audio-analysis/273dCMFseLcVsoSWx59IoE,211933.0,4.0,,8
The Script,Hall of Fame (feat. will.i.am),70,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,https://open.spotify.com/track/1X1DWw2pcNZ8zSub3uhlNz,0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/tracks/1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/audio-analysis/1X1DWw2pcNZ8zSub3uhlNz,202533.0,4.0,,1
Maroon 5,Payphone,71,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ,0.739,0.756,4.0,-4.828,1.0,0.0394,0.0136,0.0,0.37,0.523,110.028,audio_features,1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ,231387.0,4.0,,9
Maroon 5,Sugar,82,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,audio_features,2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,235493.0,4.0,,9
Sugarland,Stuck Like Glue,66,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,https://open.spotify.com/track/0JcKdUGNR7zI4jJDLyYXbi,0.702,0.795,1.0,-4.764,1.0,0.0568,0.329,0.0,0.0505,0.836,83.961,audio_features,0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/tracks/0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/audio-analysis/0JcKdUGNR7zI4jJDLyYXbi,247587.0,4.0,,9
Bruno Mars,That's What I Like,85,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693.0,4.0,,9
One Direction,Steal My Girl,81,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://open.spotify.com/track/2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10.0,-5.948,0.0,0.0347,0.00433,0.0,0.114,0.545,77.217,audio_features,2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,228133.0,4.0,,1
DJ Khaled,I'm the One,0,spotify:track:72Q0FQQo32KJloivv5xge2,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,0.599,0.667,7.0,-4.267,1.0,0.0367,0.0533,0.0,0.134,0.817,80.984,audio_features,72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,288877.0,4.0,,9
Taylor Swift,Wildest Dreams,74,spotify:track:59HjlYCeBsxdI0fcm3zglw,https://open.spotify.com/track/59HjlYCeBsxdI0fcm3zglw,0.554,0.666,8.0,-7.414,1.0,0.0747,0.0702,0.00593,0.106,0.472,140.056,audio_features,59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw,220440.0,4.0,,8
Khalid,Young Dumb & Broke,81,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.948,audio_features,5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,202547.0,4.0,,9
Natasha Bedingfield,Unwritten,2,spotify:track:1D1nixOVWOxvNfWi0UD7VX,https://open.spotify.com/track/1D1nixOVWOxvNfWi0UD7VX,0.706,0.8,5.0,-6.333,1.0,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX,259333.0,4.0,,9
R. Kelly,Ignition - Remix,64,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,https://open.spotify.com/track/3zSCNTXI7Ed0PiidZVmzIe,0.778,0.549,1.0,-6.144,1.0,0.0473,0.0549,0.0,0.0724,0.802,133.041,audio_features,3zSCNTXI7Ed0PiidZVmzIe,https://api.spotify.com/v1/tracks/3zSCNTXI7Ed0PiidZVmzIe,https://api.spotify.com/v1/audio-analysis/3zSCNTXI7Ed0PiidZVmzIe,186040.0,4.0,,9
Tom Petty,Free Fallin',78,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://open.spotify.com/track/5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5.0,-13.333,1.0,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000.0,4.0,,0
Van Morrison,Brown Eyed Girl,80,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7.0,-10.964,1.0,0.0376,0.185,0.0,0.406,0.908,150.566,audio_features,3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,183307.0,4.0,,3
Jason Derulo,It Girl,71,spotify:track:4fINc8dnfcz7AdhFYVA4i7,https://open.spotify.com/track/4fINc8dnfcz7AdhFYVA4i7,0.668,0.718,1.0,-4.736,0.0,0.0605,0.0165,0.0,0.104,0.345,91.993,audio_features,4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/tracks/4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/audio-analysis/4fINc8dnfcz7AdhFYVA4i7,192200.0,4.0,,1
Train,"Hey, Soul Sister",0,spotify:track:0KpfYajJVVGgQ32Dby7e9i,https://open.spotify.com/track/0KpfYajJVVGgQ32Dby7e9i,0.675,0.885,1.0,-4.432,0.0,0.0436,0.217,0.0,0.086,0.768,97.03,audio_features,0KpfYajJVVGgQ32Dby7e9i,https://api.spotify.com/v1/tracks/0KpfYajJVVGgQ32Dby7e9i,https://api.spotify.com/v1/audio-analysis/0KpfYajJVVGgQ32Dby7e9i,216667.0,4.0,,9
Portugal. The Man,Feel It Still,78,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253.0,4.0,,9
The Chainsmokers,Closer,86,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0,,9
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",74,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0.0,-5.721,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,audio_features,1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/tracks/1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/audio-analysis/1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0,,9
Soulja Boy,Kiss Me Thru The Phone,78,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21,0.758,0.712,7.0,-3.781,1.0,0.112,0.0185,0.0,0.0677,0.795,149.998,audio_features,2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,193387.0,4.0,,9
Mark Ronson,Uptown Funk (feat. Bruno Mars),84,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667.0,4.0,,9
Taylor Swift,Blank Space,78,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,audio_features,1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,231827.0,4.0,,9
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",73,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN,0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047,audio_features,7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,201160.0,4.0,,9
Katy Perry,Roar,74,spotify:track:6F5c58TMEs1byxUstkzVeM,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,0.554,0.772,7.0,-4.821,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,audio_features,6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM,223546.0,4.0,,8
Village People,Ymca,50,spotify:track:7Cp69rNBwU0gaFT8zxExlE,https://open.spotify.com/track/7Cp69rNBwU0gaFT8zxExlE,0.715,0.951,6.0,-6.488,1.0,0.132,0.152,0.0,0.302,0.671,126.643,audio_features,7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/tracks/7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/audio-analysis/7Cp69rNBwU0gaFT8zxExlE,284867.0,4.0,,9
Taylor Swift,You Belong With Me,71,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://open.spotify.com/track/3GCL1PydwsLodcpv0Ll1ch,0.687,0.783,6.0,-4.44,1.0,0.0386,0.162,1.35e-05,0.114,0.443,129.964,audio_features,3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/tracks/3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/audio-analysis/3GCL1PydwsLodcpv0Ll1ch,231133.0,4.0,,9
The Killers,All These Things That I've Done,3,spotify:track:0kYUrLVQOfx21xuXu7OGrT,https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT,0.557,0.728,6.0,-6.181,1.0,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,audio_features,0kYUrLVQOfx21xuXu7OGrT,https://api.spotify.com/v1/tracks/0kYUrLVQOfx21xuXu7OGrT,https://api.spotify.com/v1/audio-analysis/0kYUrLVQOfx21xuXu7OGrT,301573.0,4.0,,1
Taylor Swift,I Knew You Were Trouble.,64,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,audio_features,72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/audio-analysis/72jCZdH0Lhg93z6Z4hBjgj,217973.0,4.0,,9
DNCE,Cake By The Ocean,82,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4.0,-5.446,0.0,0.0517,0.152,0.0,0.0371,0.896,119.002,audio_features,76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,219147.0,4.0,,9
Carly Rae Jepsen,Call Me Maybe,74,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,7.0,-6.548,1.0,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400.0,4.0,,9
Taylor Swift,22,58,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,https://open.spotify.com/track/3bIxTsfeNMO7Nt2J3EUKrA,0.658,0.729,7.0,-6.561,1.0,0.0378,0.00215,0.0013,0.0752,0.668,104.007,audio_features,3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/tracks/3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/audio-analysis/3bIxTsfeNMO7Nt2J3EUKrA,230133.0,4.0,,9
Katy Perry,California Gurls,76,spotify:track:6tS3XVuOyu10897O3ae7bi,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,0.791,0.754,0.0,-3.729,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,audio_features,6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,234653.0,4.0,,9
Taylor Swift,Welcome To New York,64,spotify:track:6qnM0XXPZOINWA778uNqQ9,https://open.spotify.com/track/6qnM0XXPZOINWA778uNqQ9,0.793,0.634,7.0,-4.807,1.0,0.0324,0.038,1.76e-06,0.304,0.615,117.024,audio_features,6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/tracks/6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/audio-analysis/6qnM0XXPZOINWA778uNqQ9,212600.0,4.0,,9
Taylor Swift,Our Song,72,spotify:track:15DeqWWQB4dcEWzJg15VrN,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,audio_features,15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/tracks/15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/audio-analysis/15DeqWWQB4dcEWzJg15VrN,201107.0,4.0,,9
Taylor Swift,Love Story,70,spotify:track:1vrd6UOGamcKNGnSHJQlSt,https://open.spotify.com/track/1vrd6UOGamcKNGnSHJQlSt,0.618,0.741,2.0,-3.95,1.0,0.031,0.17,0.0,0.0822,0.296,118.984,audio_features,1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/tracks/1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/audio-analysis/1vrd6UOGamcKNGnSHJQlSt,235267.0,4.0,,1
Taylor Swift,Hey Stephen,50,spotify:track:4WXzzCof26KJLTK5kK53dS,https://open.spotify.com/track/4WXzzCof26KJLTK5kK53dS,0.841,0.544,6.0,-7.347,1.0,0.0309,0.194,2.48e-06,0.108,0.831,115.994,audio_features,4WXzzCof26KJLTK5kK53dS,https://api.spotify.com/v1/tracks/4WXzzCof26KJLTK5kK53dS,https://api.spotify.com/v1/audio-analysis/4WXzzCof26KJLTK5kK53dS,254307.0,4.0,,9
Taylor Swift,Style,66,spotify:track:1fo2ctLqj3zBhRQKOXprol,https://open.spotify.com/track/1fo2ctLqj3zBhRQKOXprol,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,audio_features,1fo2ctLqj3zBhRQKOXprol,https://api.spotify.com/v1/tracks/1fo2ctLqj3zBhRQKOXprol,https://api.spotify.com/v1/audio-analysis/1fo2ctLqj3zBhRQKOXprol,231000.0,4.0,,1
Taylor Swift,Shake It Off,74,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://open.spotify.com/track/5xTtaWoae3wi06K5WfVUUH,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,audio_features,5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,219200.0,4.0,,9
Taylor Swift,Mean,67,spotify:track:5yEPktRqvIhko5QFF3aBhQ,https://open.spotify.com/track/5yEPktRqvIhko5QFF3aBhQ,0.568,0.761,4.0,-3.987,1.0,0.0459,0.452,0.0,0.217,0.789,163.974,audio_features,5yEPktRqvIhko5QFF3aBhQ,https://api.spotify.com/v1/tracks/5yEPktRqvIhko5QFF3aBhQ,https://api.spotify.com/v1/audio-analysis/5yEPktRqvIhko5QFF3aBhQ,237733.0,4.0,,8
Taylor Swift,Gorgeous,0,spotify:track:0CLnkxpa3M4eA3HeGaERat,https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat,0.794,0.537,7.0,-6.865,1.0,0.169,0.079,4.98e-06,0.227,0.418,92.022,audio_features,0CLnkxpa3M4eA3HeGaERat,https://api.spotify.com/v1/tracks/0CLnkxpa3M4eA3HeGaERat,https://api.spotify.com/v1/audio-analysis/0CLnkxpa3M4eA3HeGaERat,209680.0,4.0,,9
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,66,spotify:track:7zMcNqs55Mxer82bvZFkpg,https://open.spotify.com/track/7zMcNqs55Mxer82bvZFkpg,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,audio_features,7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/tracks/7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/audio-analysis/7zMcNqs55Mxer82bvZFkpg,203040.0,4.0,,1
John Legend,All of Me,86,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560.0,4.0,,0
Passenger,Let Her Go,0,spotify:track:6GmUVqe73u5YRfUUynZK6I,https://open.spotify.com/track/6GmUVqe73u5YRfUUynZK6I,0.479,0.545,7.0,-7.346,1.0,0.0688,0.365,0.0,0.0963,0.244,74.897,audio_features,6GmUVqe73u5YRfUUynZK6I,https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I,https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I,252733.0,4.0,,1
Sam Smith,Stay With Me,0,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,https://open.spotify.com/track/5Db9VIdDsN5yu3Eu7CT0i4,0.479,0.419,0.0,-6.517,1.0,0.0389,0.568,0.000217,0.11,0.186,85.014,audio_features,5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/tracks/5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/audio-analysis/5Db9VIdDsN5yu3Eu7CT0i4,172724.0,4.0,,0
